venue,pool_address,stock_symbol,stock_asset_uid,stock_token,quote_symbol,quote_token,token0,token1,fee,tick_spacing,evidence
UNISWAP_V3,0x078c1690865964838ae346077046750846a552d1,AAOI,0x00000000000000000000000000000000a47bbc4c8a0b4f44a6d1aff3242b3088,0x521cf887e6531c6f667b5bc4d896e5d9bfe8eb2e,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x521cf887e6531c6f667b5bc4d896e5d9bfe8eb2e,0x5fc5360d0400a0fd4f2af552add042d716f1d168,10000,200,CANONICAL_FACTORY_VIEW_AND_POOL_STATE_AT_FIXED_BLOCK
UNISWAP_V2,0xd0bbf7df4e357eb3d6276df5a5903bd42bbf3647,AAPL,0x00000000000000000000000000000000c2425be3658540dd8e2424cbf3c5c649,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,3000,,CANONICAL_FACTORY_VIEW_AT_FIXED_BLOCK
UNISWAP_V3,0xaae0d815ee56e4092a5e5c2911e676fea50b2d6d,AAPL,0x00000000000000000000000000000000c2425be3658540dd8e2424cbf3c5c649,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,500,10,CANONICAL_FACTORY_VIEW_AND_POOL_STATE_AT_FIXED_BLOCK
UNISWAP_V3,0x783c9bbb765047cfdd2b84b92b2ca9f11d34b7ed,AAPL,0x00000000000000000000000000000000c2425be3658540dd8e2424cbf3c5c649,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,3000,60,CANONICAL_FACTORY_VIEW_AND_POOL_STATE_AT_FIXED_BLOCK
UNISWAP_V3,0x3714aa8105de1f384481b425788af413748c1837,AAPL,0x00000000000000000000000000000000c2425be3658540dd8e2424cbf3c5c649,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,10000,200,CANONICAL_FACTORY_VIEW_AND_POOL_STATE_AT_FIXED_BLOCK
UNISWAP_V3,0xe4d4ba605b042054bd8815d515d98ddf46232622,AAPL,0x00000000000000000000000000000000c2425be3658540dd8e2424cbf3c5c649,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,100,1,CANONICAL_FACTORY_VIEW_AND_POOL_STATE_AT_FIXED_BLOCK
UNISWAP_V3,0x8bb3514e2204e1cdf3ac149efee7ff04d91b719f,AAPL,0x00000000000000000000000000000000c2425be3658540dd8e2424cbf3c5c649,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0xaf3d76f1834a1d425780943c99ea8a608f8a93f9,500,10,CANONICAL_FACTORY_VIEW_AND_POOL_STATE_AT_FIXED_BLOCK
UNISWAP_V3,0x6ed779291769df8c1a3556f86f859192622505ff,ABCL,0x00000000000000000000000000000000cbe64873637849e38e848d35826726d4,0x3139d77ace0cbaa5bdfd38bd1f1911a794af0b0e,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x3139d77ace0cbaa5bdfd38bd1f1911a794af0b0e,0x5fc5360d0400a0fd4f2af552add042d716f1d168,10000,200,CANONICAL_FACTORY_VIEW_AND_POOL_STATE_AT_FIXED_BLOCK
UNISWAP_V3,0xd25e11e45f42660668acc3db09dfe56f890f2e58,ADBE,0x00000000000000000000000000000000d44f85ce72274d6e867a54fa2f4009cb,0x232b8ed6377be97813853b0ac104c4cda8378d1b,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x232b8ed6377be97813853b0ac104c4cda8378d1b,0x5fc5360d0400a0fd4f2af552add042d716f1d168,10000,200,CANONICAL_FACTORY_VIEW_AND_POOL_STATE_AT_FIXED_BLOCK
UNISWAP_V3,0xf5954707e56f80d6e4ebd3609cf76bdb3769b7f5,AEHR,0x000000000000000000000000000000000747a25837b6475c8da1a66b7d036988,0x5f604fba1162193a4388a5dfa56f556f3e133cc2,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,0x5f604fba1162193a4388a5dfa56f556f3e133cc2,0x5fc5360d0400a0fd4f2af552add042d716f1d168,10000,200,CANONICAL_FACTORY_VIEW_AND_POOL_STATE_AT_FIXED_BLOCK
