stock_symbol,stock_asset_uid,stock_token,quote_symbol,quote_token,dex_id,version,pair_identifier,pair_identifier_kind,evidence,liquidity_usd_at_capture,volume_h24_at_capture,url
AEHR,0x000000000000000000000000000000000747a25837b6475c8da1a66b7d036988,0x5f604fba1162193a4388a5dfa56f556f3e133cc2,ETH,0x0000000000000000000000000000000000000000,uniswap,v4,0x361f0fb512c4ce83c253cc4235c3e85f2e60658c2d2f22a0ae06595b7907df45,POOL_ID_BYTES32,THIRD_PARTY_DISCOVERY_ONLY,2254.6,408.88,https://dexscreener.com/robinhood/0x361f0fb512c4ce83c253cc4235c3e85f2e60658c2d2f22a0ae06595b7907df45
AEHR,0x000000000000000000000000000000000747a25837b6475c8da1a66b7d036988,0x5f604fba1162193a4388a5dfa56f556f3e133cc2,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,v4,0x60fb9c5e79ccabe9879ec59cff8b38bb427b90fa47c1087fa3e9ddaae1197398,POOL_ID_BYTES32,THIRD_PARTY_DISCOVERY_ONLY,940.04,45.45,https://dexscreener.com/robinhood/0x60fb9c5e79ccabe9879ec59cff8b38bb427b90fa47c1087fa3e9ddaae1197398
AEHR,0x000000000000000000000000000000000747a25837b6475c8da1a66b7d036988,0x5f604fba1162193a4388a5dfa56f556f3e133cc2,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,v4,0x683f48f93bf517eed46a0ef2cf871d9f9189511e07448ec70fc4e1deb0dab252,POOL_ID_BYTES32,THIRD_PARTY_DISCOVERY_ONLY,2994.45,2553.89,https://dexscreener.com/robinhood/0x683f48f93bf517eed46a0ef2cf871d9f9189511e07448ec70fc4e1deb0dab252
AEHR,0x000000000000000000000000000000000747a25837b6475c8da1a66b7d036988,0x5f604fba1162193a4388a5dfa56f556f3e133cc2,ETH,0x0000000000000000000000000000000000000000,uniswap,v4,0x6adc0cc7ef79d4571044bcbcd1f458a754679e08e12886239fc582887dec3b61,POOL_ID_BYTES32,THIRD_PARTY_DISCOVERY_ONLY,340.4,75.85,https://dexscreener.com/robinhood/0x6adc0cc7ef79d4571044bcbcd1f458a754679e08e12886239fc582887dec3b61
AEHR,0x000000000000000000000000000000000747a25837b6475c8da1a66b7d036988,0x5f604fba1162193a4388a5dfa56f556f3e133cc2,ETH,0x0000000000000000000000000000000000000000,uniswap,v4,0x91b3842eec11eb7754b5de6b5b94ba7ff9b2bffcc5c259421d02d0b1504aba79,POOL_ID_BYTES32,THIRD_PARTY_DISCOVERY_ONLY,554.62,450.8,https://dexscreener.com/robinhood/0x91b3842eec11eb7754b5de6b5b94ba7ff9b2bffcc5c259421d02d0b1504aba79
AEHR,0x000000000000000000000000000000000747a25837b6475c8da1a66b7d036988,0x5f604fba1162193a4388a5dfa56f556f3e133cc2,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,v4,0xbe4b1e22bd8f3147357b0877ca888952b1831766d64546b959a833a7fa0d97d5,POOL_ID_BYTES32,THIRD_PARTY_DISCOVERY_ONLY,3874.98,42.04,https://dexscreener.com/robinhood/0xbe4b1e22bd8f3147357b0877ca888952b1831766d64546b959a833a7fa0d97d5
AEHR,0x000000000000000000000000000000000747a25837b6475c8da1a66b7d036988,0x5f604fba1162193a4388a5dfa56f556f3e133cc2,ETH,0x0000000000000000000000000000000000000000,uniswap,v4,0xce8bbad4bd57b29ac083ef5bef9ea8dd1c6174c95c0a6bee999a9737d6fc3b5c,POOL_ID_BYTES32,THIRD_PARTY_DISCOVERY_ONLY,8532.82,1738.34,https://dexscreener.com/robinhood/0xce8bbad4bd57b29ac083ef5bef9ea8dd1c6174c95c0a6bee999a9737d6fc3b5c
AEHR,0x000000000000000000000000000000000747a25837b6475c8da1a66b7d036988,0x5f604fba1162193a4388a5dfa56f556f3e133cc2,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,v4,0xd33b177b5c5de2047a5395db70cc77d1b97af060cb3e8fb1a1cc3b39708cfee3,POOL_ID_BYTES32,THIRD_PARTY_DISCOVERY_ONLY,1000.33,292.45,https://dexscreener.com/robinhood/0xd33b177b5c5de2047a5395db70cc77d1b97af060cb3e8fb1a1cc3b39708cfee3
ALAB,0x0000000000000000000000000000000069bc82da7c264394bdf6b23c8b0cd399,0x748c32c3ca24edf31ea597db1f3d330a7a6da3dc,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,v4,0x118e7a176da929f1b4c195189ab30d09df4966b15c3f3274d1039c6f62e2695a,POOL_ID_BYTES32,THIRD_PARTY_DISCOVERY_ONLY,3035.9,3504.1,https://dexscreener.com/robinhood/0x118e7a176da929f1b4c195189ab30d09df4966b15c3f3274d1039c6f62e2695a
ALAB,0x0000000000000000000000000000000069bc82da7c264394bdf6b23c8b0cd399,0x748c32c3ca24edf31ea597db1f3d330a7a6da3dc,ETH,0x0000000000000000000000000000000000000000,uniswap,v4,0x17f3177f9b5a412236bb34bf19d53abf381359ba6bd4fb427f3392be8b7f0f79,POOL_ID_BYTES32,THIRD_PARTY_DISCOVERY_ONLY,333.74,25,https://dexscreener.com/robinhood/0x17f3177f9b5a412236bb34bf19d53abf381359ba6bd4fb427f3392be8b7f0f79
